n_neighbors,min_dist,min_samples,min_cluster_size,ari,noise_fraction,silhouette,n_clusters
10,0.0,10,50,0.07841483505075589,0.4317553793884485,-0.22661156952381134,247
10,0.0,25,50,0.09397021936652362,0.5264628161570404,-0.13370302319526672,195
10,0.0,50,50,0.0978188476349194,0.5770177425443563,-0.04102471098303795,167
10,0.0,100,50,0.09236751939556735,0.6570630426576066,0.12672506272792816,88
10,0.0,250,50,0.06191511122647986,0.7463344658361646,0.34858986735343933,39
10,0.0,500,50,0.05166353492471321,0.7717478293695734,0.7021266222000122,18
10,0.0,1000,50,0.035786122673890274,0.8158701396753492,0.76540607213974,10
10,0.0,10,100,0.08665067996075936,0.29067572668931674,-0.4611795246601105,76
10,0.0,25,100,0.08350991605496318,0.549429973574934,-0.11657093465328217,95
10,0.0,50,100,0.0946145473570132,0.6175764439411099,0.08369991928339005,92
10,0.0,100,100,0.0912656232482252,0.6519290298225745,0.10607419162988663,74
10,0.0,250,100,0.06793849073468457,0.732623631559079,0.39098256826400757,28
10,0.0,500,100,0.0533125797576363,0.7705549263873159,0.7084141969680786,16
10,0.0,1000,100,0.035786122673890274,0.8158701396753492,0.76540607213974,10
10,0.0,10,250,0.10869073583813053,0.2584673461683654,-0.40462177991867065,29
10,0.0,25,250,0.057976812752015335,0.6126840317100792,0.1359235793352127,35
10,0.0,50,250,0.087710659125043,0.6876104190260476,0.31040534377098083,30
10,0.0,100,250,0.0877206532305003,0.6981804454511136,0.3504353165626526,29
10,0.0,250,250,0.0734940954208885,0.7284560211400528,0.5423119068145752,22
10,0.0,500,250,0.05270307179811899,0.7631257078142696,0.7052402496337891,13
10,0.0,1000,250,0.03478817862105327,0.8183314458286146,0.7673123478889465,9
10,0.0,10,500,0.10984989409532069,0.29455643639109097,-0.3609413206577301,18
10,0.0,25,500,0.052417938866193725,0.6284333710834277,0.22117756307125092,16
10,0.0,50,500,0.08455475218398308,0.6770101925254813,0.5123249292373657,14
10,0.0,100,500,0.08078397107320551,0.6991619479048697,0.48838889598846436,13
10,0.0,250,500,0.07056059507146016,0.7068478671196678,0.5041139125823975,13
10,0.0,500,500,0.05270307179811899,0.7631257078142696,0.7052402496337891,13
10,0.0,1000,500,0.042646631452104795,0.8076104190260476,0.6767664551734924,8
10,0.0,10,1000,0.1162861502745293,0.13867874669686675,-0.2594315707683563,6
10,0.0,25,1000,0.06310744654145443,0.5152283880709702,0.15610380470752716,9
10,0.0,50,1000,0.08537601762707608,0.67841449603624,0.40619584918022156,10
10,0.0,100,1000,0.0983620956567516,0.6877614194035485,0.4845086932182312,9
10,0.0,250,1000,0.06995779720430281,0.7122083805209513,0.39342808723449707,9
10,0.0,500,1000,0.050282248695760826,0.7720498301245753,0.7378012537956238,8
10,0.0,1000,1000,0.03757413615801552,0.8165647414118535,0.7494373321533203,7
10,0.0,10,2500,0.006538974387017407,0.010585126462816157,-0.0679895430803299,2
10,0.0,25,2500,0.007185552939074585,0.12792751981879955,-0.022868135944008827,2
10,0.0,50,2500,0.007093821926858232,0.13275953189882975,-0.01899832859635353,2
10,0.0,100,2500,0.005587259490900683,0.17037372593431482,-0.026713117957115173,2
10,0.0,250,2500,0.061418619640682924,0.6021291053227633,0.2931292951107025,2
10,0.0,500,2500,0.08713403991221437,0.7734541336353341,-0.06940652430057526,3
10,0.0,1000,2500,0.07442457304296343,0.8078067195167988,0.5884217023849487,3
10,0.0,10,5000,0.0,1.0,,0
10,0.0,25,5000,0.0,1.0,,0
10,0.0,50,5000,0.0,1.0,,0
10,0.0,100,5000,0.0,1.0,,0
10,0.0,250,5000,0.061418619640682924,0.6021291053227633,0.2931292653083801,2
