UMAP 1,UMAP 2,Cluster,Seq ID,Variant,Pango lineage,Collection date
24.832397,-16.193985,-1,EPI_ISL_1684472,Alpha,B.1.1.7,2021-04-04
24.613686,-15.975091,-1,EPI_ISL_2361279,Alpha,B.1.1.7,2021-05
24.879345,-16.818775,-1,EPI_ISL_1193407,Alpha,B.1.1,2021-03-03
23.738579,-16.225067,-1,EPI_ISL_2031120,Alpha,B.1.1.7,2021-03-09
-14.574431,-34.2288,-1,EPI_ISL_1098250,Alpha,B.1.1.7,2021-02-18
24.82449,-16.217243,-1,EPI_ISL_4081280,Alpha,B.1.1.7,2021-02
-0.8432226,-13.930939,-1,EPI_ISL_1591273,Alpha,B.1.1.7,2021-03-08
24.738663,-16.07668,-1,EPI_ISL_1696533,Alpha,B.1.1.7,2021-01-28
24.785484,-16.146889,-1,EPI_ISL_2046812,Alpha,B.1.1.7,2021-05-03
30.124924,-10.809533,-1,EPI_ISL_10146008,Alpha,B.1.1.7,2021-04-01
24.79321,-16.123363,-1,EPI_ISL_4026491,Alpha,B.1.1.7,2021-02-18
24.74636,-16.107828,-1,EPI_ISL_2760615,Alpha,B.1,2021-06-17
24.847942,-16.185963,-1,EPI_ISL_2604634,Alpha,B.1.1.7,2021-03-27
30.406147,-10.504837,-1,EPI_ISL_10149548,Alpha,B.1.1.7,2021-04-28
24.676193,-16.115858,-1,EPI_ISL_2597504,Alpha,B.1.1.7,2021-03-28
24.871101,-16.17024,-1,EPI_ISL_1683962,Alpha,B.1.1.7,2021-04-08
-0.3979888,-13.962409,-1,EPI_ISL_2482251,Alpha,B.1.1.7,2021-05-30
24.793335,-16.139235,-1,EPI_ISL_3671215,Alpha,B.1.1.7,2021-06-03
24.691711,-16.06116,-1,EPI_ISL_1842632,Alpha,B.1.1.7,2021-02-13
24.699417,-16.076763,-1,EPI_ISL_1307547,Alpha,B.1.1.7,2021-03-10
24.777641,-16.139233,-1,EPI_ISL_1681647,Alpha,B.1.1.7,2021-04-12
1.955492,-13.805862,-1,EPI_ISL_1506248,Alpha,B.1.1.7,2021-03-30
23.785446,-16.232872,-1,EPI_ISL_1304202,Alpha,B.1.1.7,2021-01-25
24.917831,-15.982801,-1,EPI_ISL_4378400,Alpha,B.1.1.7,2021-06-15
-14.597767,-34.21324,-1,EPI_ISL_11036528,Alpha,B.1.1.7,2021-08-02
1.7289982,-14.0400715,-1,EPI_ISL_1188617,Alpha,B.1.1.7,2021-02-25
-14.457354,-34.15075,-1,EPI_ISL_3497312,Alpha,B.1.1.7,2021-08-06
24.754066,-16.115725,-1,EPI_ISL_1643531,Alpha,B.1.1.7,2021-04-09
26.917683,-13.498234,-1,EPI_ISL_4174482,Alpha,B.1.1.7,2021-05-07
-15.394617,-34.36169,-1,EPI_ISL_11036678,Alpha,B.1.1.7,2021-09-20
24.698933,-16.037273,-1,EPI_ISL_2658851,Alpha,B.1.1.7,2021-04-20
24.699532,-16.060883,-1,EPI_ISL_3014496,Alpha,B.1.1.7,2021-04-14
23.894875,-16.131393,-1,EPI_ISL_3998651,Alpha,B.1.1.7,2021-05-17
23.816654,-16.209404,-1,EPI_ISL_2844231,Alpha,B.1.1.7,2021-06-10
1.7133913,-13.891785,-1,EPI_ISL_2695304,Alpha,B.1.1.7,2021-06-13
24.65284,-16.021923,-1,EPI_ISL_1753712,Alpha,B.1.1.7,2021-04-20
24.887062,-17.15468,-1,EPI_ISL_3087849,Alpha,B.1.1.7,2021-06-05
23.887112,-16.201567,-1,EPI_ISL_5937722,Alpha,B.1.1.7,2021-06-27
23.793465,-16.748602,-1,EPI_ISL_1842583,Alpha,B.1.1.7,2021-02-10
24.754192,-16.107779,-1,EPI_ISL_1576917,Alpha,B.1.1.7,2021-03-31
24.597916,-16.021912,-1,EPI_ISL_2583859,Alpha,B.1.1.7,2021-01-26
24.168201,-16.982796,-1,EPI_ISL_2635594,Alpha,B.1.1.7,2021-06-10
-0.43686867,-14.063866,-1,EPI_ISL_2605443,Alpha,B.1.1.7,2021-06-02
24.761913,-16.11561,-1,EPI_ISL_2608868,Alpha,B.1.1.7,2021-05-05
24.754353,-16.092194,-1,EPI_ISL_5199377,Alpha,B.1,2021-02-02
2.119709,-14.501019,-1,EPI_ISL_2343074,Alpha,B.1.1.7,2021-05-15
-1.0384712,-14.587325,-1,EPI_ISL_1803275,Alpha,B.1.1.7,2021-04-20
-0.4761896,-14.298346,-1,EPI_ISL_2097023,Alpha,B.1.1.7,2021-04-10
26.628754,-13.998213,-1,EPI_ISL_2090665,Alpha,B.1.1.7,2021-03-29
26.235111,-14.589605,-1,EPI_ISL_2508159,Alpha,B.1.1.7,2021-04-16
24.76995,-16.256401,-1,EPI_ISL_1621332,Alpha,B.1.1.7,2021-03-17
-0.5699215,-14.079524,-1,EPI_ISL_2501309,Alpha,B.1.1.7,2021-06-01
23.863384,-16.131222,-1,EPI_ISL_3022425,Alpha,B.1.1.7,2021-03-08
24.730885,-16.068878,-1,EPI_ISL_2184255,Alpha,B.1.1.7,2021-05-05
24.754303,-16.045341,-1,EPI_ISL_3014510,Alpha,B.1.1,2021-05-12
24.668362,-16.146908,-1,EPI_ISL_2597488,Alpha,B.1.1.7,2021-03-22
24.78537,-16.131287,-1,EPI_ISL_1602622,Alpha,B.1.1.7,2021-02-25
26.49588,-14.311077,-1,EPI_ISL_2645106,Alpha,B.1.1.7,2021-05-13
24.691696,-16.014069,-1,EPI_ISL_2258826,Alpha,B.1.1.7,2021-03-26
2.0494318,-13.797955,-1,EPI_ISL_1243698,Alpha,B.1.1.7,2021-03-01
24.746418,-16.092287,-1,EPI_ISL_2597610,Alpha,B.1.1.7,2021-04-21
23.81694,-16.279722,-1,EPI_ISL_2185380,Alpha,B.1.1.7,2021-05-06
24.69954,-16.154707,-1,EPI_ISL_1842276,Alpha,B.1.1.7,2021-02-01
-0.7732363,-13.985504,-1,EPI_ISL_2740947,Alpha,B.1.1.7,2021-03-31
2.1353188,-13.969751,-1,EPI_ISL_1636411,Alpha,B.1.1.7,2021-04-07
24.66816,-16.154676,-1,EPI_ISL_1964178,Alpha,B.1.1.7,2021-04-07
24.723057,-16.053228,-1,EPI_ISL_2566474,Alpha,B.1.1.7,2021-05-17
24.761917,-16.107727,-1,EPI_ISL_1335449,Alpha,B.1.1.7,2021-03-08
24.801048,-16.061066,-1,EPI_ISL_2875216,Alpha,B.1.1.7,2021-06-01
24.441933,-17.13136,-1,EPI_ISL_1929653,Alpha,B.1.1,2021-04-21
30.36726,-10.528246,-1,EPI_ISL_10145977,Alpha,B.1.1.7,2021-03-22
30.367233,-10.528254,-1,EPI_ISL_10145985,Alpha,B.1.1.7,2021-06-23
24.785454,-16.092133,-1,EPI_ISL_2604356,Alpha,B.1.1.7,2021-02-25
24.761982,-16.123352,-1,EPI_ISL_1798499,Alpha,B.1.1.7,2021-04-05
24.777542,-16.146769,-1,EPI_ISL_1592846,Alpha,B.1.1.7,2021-03-30
24.723015,-16.099918,-1,EPI_ISL_2375399,Alpha,B.1.1.7,2020-12-16
24.816845,-16.131344,-1,EPI_ISL_1598435,Alpha,B.1.1.7,2021-03-21
24.777557,-16.092228,-1,EPI_ISL_1195722,Alpha,B.1.1.7,2021-02-14
24.808212,-16.107384,-1,EPI_ISL_1185714,Alpha,B.1.1.7,2021-02-10
24.808662,-16.178259,-1,EPI_ISL_2363820,Alpha,B.1.1.7,2021-05-03
24.801132,-16.147102,-1,EPI_ISL_2046408,Alpha,B.1.1.7,2021-04-29
1.7600718,-13.735619,-1,EPI_ISL_2120715,Alpha,B.1.1.7,2021-05-06
24.777668,-16.154957,-1,EPI_ISL_1577316,Alpha,B.1.1.7,2021-02-14
24.722725,-15.998669,-1,EPI_ISL_15742050,Alpha,B.1.1.7,2021-06-23
24.777573,-16.232906,-1,EPI_ISL_1496734,Alpha,B.1.1.7,2021-01-29
23.769886,-16.271858,-1,EPI_ISL_2157679,Alpha,B.1.1.7,2021-03-16
24.70729,-16.08437,-1,EPI_ISL_1647622,Alpha,B.1.1.7,2021-04-06
1.8619032,-13.727638,-1,EPI_ISL_2262897,Alpha,B.1.1.7,2021-05-08
24.730831,-16.115654,-1,EPI_ISL_1718299,Alpha,B.1.1.7,2021-03-18
24.777573,-16.154804,-1,EPI_ISL_3453511,Alpha,B.1.1.7,2021-03-30
23.941582,-16.912464,-1,EPI_ISL_1157160,Alpha,B.1.1.7,2021-01-15
24.785278,-16.029821,-1,EPI_ISL_1658215,Alpha,B.1.1,2021-04-05
1.838769,-14.079445,-1,EPI_ISL_1108818,Alpha,B.1.1.7,2021-02-10
24.668339,-16.108013,-1,EPI_ISL_2016199,Alpha,B.1.1.7,2021-04
24.785568,-16.18583,-1,EPI_ISL_1306925,Alpha,B.1.1.7,2021-03-13
24.51196,-17.146915,-1,EPI_ISL_3671136,Alpha,B.1.1.7,2021-06-01
24.761837,-16.170498,-1,EPI_ISL_1307509,Alpha,B.1.1.7,2021-03-10
24.78558,-16.225117,-1,EPI_ISL_3502513,Alpha,B.1.1.7,2021-05-18
