t-SNE component 1,t-SNE component 2,Cluster,Seq ID,Variant,Pango lineage,Collection date
-32.886383,1.4753126,-1,EPI_ISL_16120796,Omicron,BN.1.5,2022-11-28
-33.52281,2.1944458,-1,EPI_ISL_15836628,Omicron,CH.1.1.3,2022-11-13
-18.291586,-13.68512,-1,EPI_ISL_16712982,Omicron,XBB.1.5.31,2023-01-15
-33.393406,2.0490594,-1,EPI_ISL_17014809,Omicron,BR.2.1,2023-01-06
-18.289299,-13.68061,-1,EPI_ISL_17370339,Omicron,XBB.1.5,2023-03-15
-1.9603031,29.763126,-1,EPI_ISL_16311926,Omicron,BQ.1.1.18,2022-12-19
-17.687798,-13.807308,-1,EPI_ISL_17068621,Omicron,XBB.1.5,2023-02-13
-33.06767,1.6831445,-1,EPI_ISL_17007533,Omicron,XBF.2,2023-01-31
-1.9667289,29.756798,-1,EPI_ISL_16386691,Omicron,BQ.1.1.3,2022-12-13
-18.910753,-13.177088,-1,EPI_ISL_17669634,Omicron,XBB.1.5,2023-04-10
-33.523666,2.1939557,-1,EPI_ISL_16886431,Omicron,CH.1.1.18,2023-02-05
-32.94268,1.5438312,-1,EPI_ISL_16951578,Omicron,BN.1.1.1,2023-02-06
-2.3599386,29.833061,-1,EPI_ISL_16706287,Omicron,BQ.1.1,2022-12-31
-18.542923,-13.182517,-1,EPI_ISL_17294320,Omicron,XBB.1.5,2023-03-02
-18.912668,-14.458305,-1,EPI_ISL_17081842,Omicron,XBB,2022-12-18
-33.568317,1.8839204,-1,EPI_ISL_16401045,Omicron,XBB,2022-12-13
-32.908512,1.5049609,-1,EPI_ISL_17474458,Omicron,BN.1.2,2023-03-22
-32.911343,1.5069255,-1,EPI_ISL_17328073,Omicron,BN.1.3.1,2023-03-13
-18.29138,-13.680559,-1,EPI_ISL_17140862,Omicron,XBB.1.5,2023-02-17
-1.9674301,29.75515,-1,EPI_ISL_17215181,Omicron,BQ.1.1,2023-01-10
-18.115171,-14.047049,-1,EPI_ISL_17009643,Omicron,XBB.1.5.28,2023-02-09
-18.287598,-13.677552,-1,EPI_ISL_17020246,Omicron,XBB.1.5.39,2023-02-15
-33.28921,1.9295015,-1,EPI_ISL_15452557,Omicron,BM.1.1.3,2022-10-15
-18.287205,-13.679391,-1,EPI_ISL_17020007,Omicron,XBB.1.5.4,2023-02-13
-33.098133,1.7169949,-1,EPI_ISL_16757696,Omicron,XBF,2023-01-22
-18.288383,-13.680957,-1,EPI_ISL_17347062,Omicron,XBB.1.11.1,2023-03-16
-1.9646169,29.760605,-1,EPI_ISL_15948528,Omicron,BQ.1.1.41,2022
-1.9636267,29.762344,-1,EPI_ISL_15856406,Omicron,BQ.1.1.18,2022-09-26
-33.523182,2.193438,-1,EPI_ISL_17390881,Omicron,CH.1.1.3,2023-03-21
-2.2277586,29.432554,-1,EPI_ISL_16490163,Omicron,BQ.1.1.29,2022-12-29
-1.9655526,29.757307,-1,EPI_ISL_17216647,Omicron,EW.2,2023-02-14
-33.52345,2.1939044,-1,EPI_ISL_17368885,Omicron,CH.1.1.3,2023-03-15
-33.523346,2.1935973,-1,EPI_ISL_17164947,Omicron,DV.5,2023-02-26
-18.28663,-13.678385,-1,EPI_ISL_17677165,Omicron,EG.1,2023-05-02
-18.939713,-14.395792,-1,EPI_ISL_16182899,Omicron,XBB.2,2022-09-14
-33.394527,2.0502498,-1,EPI_ISL_16559277,Omicron,BR.2.1,2022-12-20
-18.155827,-13.615121,-1,EPI_ISL_17127967,Omicron,XBB.1.5.31,2023-02-10
-18.9108,-13.177816,-1,EPI_ISL_17678936,Omicron,XBB.1.5.1,2023
-32.91067,1.5059303,-1,EPI_ISL_16534731,Omicron,BN.1.9,2023-01-03
-18.288986,-13.678942,-1,EPI_ISL_17181298,Omicron,XBB.1.5.15,2023-02-27
-32.88948,1.4773833,-1,EPI_ISL_15979493,Omicron,BN.1.3,2022-11-11
-33.523514,2.1937537,-1,EPI_ISL_16808691,Omicron,CH.1.1.1,2023-01-27
-1.9651,29.762451,-1,EPI_ISL_17277763,Omicron,BQ.1.1.32,2022-12-28
-2.2838907,29.503323,-1,EPI_ISL_17509600,Omicron,BQ.1.1.28,2023-03-23
-1.9997779,29.19608,-1,EPI_ISL_16395599,Omicron,BQ.1.1.26,2022-12-26
-18.06657,-13.408686,-1,EPI_ISL_17660420,Omicron,XBB.1.5,2023-04-13
-33.523193,2.1934633,-1,EPI_ISL_17370722,Omicron,CH.1.1.1,2023-01-06
-33.42901,2.0879054,-1,EPI_ISL_17650380,Omicron,CH.1.1.1,2023-01
-17.91373,-13.660697,-1,EPI_ISL_17514460,Omicron,XBB.1.9.1,2023-04-12
-1.9607695,29.753721,-1,EPI_ISL_16242395,Omicron,BQ.1.18,2022-12-03
-33.522923,2.193102,-1,EPI_ISL_16615861,Omicron,CH.1.1,2023-01-01
-1.95799,29.762611,-1,EPI_ISL_17597202,Omicron,Unassigned,2023-04-17
-1.9674902,29.756113,-1,EPI_ISL_17277784,Omicron,BQ.1.11,2022-12-27
-33.18955,1.82434,-1,EPI_ISL_16133988,Omicron,BL.2,2022-11-28
-1.9656228,29.76265,-1,EPI_ISL_16683490,Omicron,BQ.1.1,2022-12-12
-18.289902,-13.683661,-1,EPI_ISL_17477680,Omicron,XBB.1.5.1,2023-03-28
-33.519905,2.1906157,-1,EPI_ISL_16977132,Omicron,CH.1.1,2023-02-15
-18.29105,-13.685799,-1,EPI_ISL_17085054,Omicron,XBB.1.5,2023-02-13
-1.9640739,29.757927,-1,EPI_ISL_15535290,Omicron,BQ.1.1.69,2022-10-04
-1.9641172,29.761345,-1,EPI_ISL_15380572,Omicron,BQ.1.1,2022-10-01
-1.9660195,29.753256,-1,EPI_ISL_16737481,Omicron,BQ.1.22,2023-01-20
-18.290455,-13.68105,-1,EPI_ISL_17145976,Omicron,XBB.1.5,2023-02-10
-33.52403,2.1943638,-1,EPI_ISL_17590188,Omicron,CH.1.1.3,2023-04-11
-18.290936,-13.683958,-1,EPI_ISL_17368164,Omicron,XBB.1.5,2023-02-26
-33.098,1.7166632,-1,EPI_ISL_16584770,Omicron,XBF.8.1,2023-01-10
-1.9689933,29.750269,-1,EPI_ISL_15968291,Omicron,BQ.1.1.31,2022-11-22
-33.029293,1.6425424,-1,EPI_ISL_16079403,Omicron,BN.1.9,2022-11-30
-18.288288,-13.68229,-1,EPI_ISL_17471648,Omicron,XBB.1.5.20,2023-03-24
-1.9634776,29.762632,-1,EPI_ISL_16216749,Omicron,BQ.1.1.69,2022-11-30
-19.002546,-14.367834,-1,EPI_ISL_17343920,Omicron,XBB.2.8,2023-03-04
-33.51161,2.1818013,-1,EPI_ISL_16910084,Omicron,CH.1.1.3,2023-01-12
-18.22083,-13.651898,-1,EPI_ISL_17655384,Omicron,XBB.1.5,2023-04-17
-17.764204,-13.642232,-1,EPI_ISL_17001384,Omicron,XBB.1.5.32,2023-02-09
-1.9667282,29.759855,-1,EPI_ISL_17241111,Omicron,BQ.1.1,2023-03-07
-19.121552,-13.821541,-1,EPI_ISL_16182905,Omicron,XBB,2022-09-30
-17.705027,-13.80521,-1,EPI_ISL_16763365,Omicron,XBB.1.5,2023-01-22
-1.9599034,29.75532,-1,EPI_ISL_17075196,Omicron,BQ.1.1,2023-02-17
-32.90892,1.5052588,-1,EPI_ISL_15617413,Omicron,BN.1,2022-10-07
-1.9636106,29.755577,-1,EPI_ISL_15622978,Omicron,BQ.1.1,2022-10-15
-18.913502,-14.519108,-1,EPI_ISL_16943738,Omicron,XBB.2.6,2022-12-07
-17.808794,-13.605872,-1,EPI_ISL_17046123,Omicron,XBB.1.5.12,2023-02-16
