t-SNE component 1,t-SNE component 2,Cluster,Seq ID,Variant,Pango lineage,Collection date
28.92547,17.526997,1,EPI_ISL_1527171,Alpha,B.1.1.7,2021-03-24
28.926422,17.526657,1,EPI_ISL_1907018,Alpha,B.1.1.7,2021-04-12
28.925472,17.526993,1,EPI_ISL_1565101,Alpha,B.1.1.7,2021-04-01
28.985188,17.566093,1,EPI_ISL_2422460,Alpha,B.1.1.7,2021-05-10
28.925474,17.526995,1,EPI_ISL_2151694,Alpha,B.1.1.7,2021-04-27
28.93423,17.531322,1,EPI_ISL_1801833,Alpha,B.1.1.7,2021-04-16
28.92548,17.526995,1,EPI_ISL_1382776,Alpha,B.1.1.7,2021-02-25
28.928406,17.524595,1,EPI_ISL_2185528,Alpha,B.1.1.7,2021-05-10
28.890694,17.496044,1,EPI_ISL_2724948,Alpha,B.1.1.7,2021-06
28.925482,17.52699,1,EPI_ISL_2382302,Alpha,B.1.1.7,2021-04-26
28.925476,17.526993,1,EPI_ISL_1232406,Alpha,B.1.1.7,2021-02-20
28.925476,17.52699,1,EPI_ISL_3130525,Alpha,B.1.1.7,2021-07-06
28.925482,17.526997,1,EPI_ISL_3133909,Alpha,B.1.1,2021-07
28.925484,17.526993,1,EPI_ISL_2250646,Alpha,B.1.1.7,2021-03
28.925478,17.52699,1,EPI_ISL_3769179,Alpha,B.1,2021-07-21
28.92548,17.526999,1,EPI_ISL_2535295,Alpha,B.1.1.7,2021-05-25
28.925474,17.526997,1,EPI_ISL_1927953,Alpha,B.1.1.7,2021-04-21
28.925476,17.52699,1,EPI_ISL_1556594,Alpha,B.1.1.7,2021-03-22
28.925474,17.526995,1,EPI_ISL_2124526,Alpha,B.1.1.7,2021-05-05
28.925474,17.526993,1,EPI_ISL_1756127,Alpha,Q.4,2021-04-06
28.925472,17.526993,1,EPI_ISL_2099423,Alpha,B.1.1.7,2021-04-09
28.92547,17.526993,1,EPI_ISL_2182427,Alpha,B.1.1.7,2021-04-12
28.877794,17.468487,1,EPI_ISL_9216909,Delta,AY.33.2,2022-01-13
28.877453,17.468458,1,EPI_ISL_8610358,Delta,AY.33.2,2021-12-29
28.946657,17.517612,1,EPI_ISL_4950220,Delta,AY.122,2021-09
28.877447,17.46846,1,EPI_ISL_8187047,Delta,AY.20,2021-12-13
28.877811,17.46849,1,EPI_ISL_3070867,Delta,AY.23,2021-06-18
28.877808,17.46849,1,EPI_ISL_4461329,Delta,B.1.617.2,2021-09-06
28.877802,17.468487,1,EPI_ISL_3392894,Delta,AY.103,2021-07
28.877447,17.468456,1,EPI_ISL_6958671,Delta,AY.33.2,2021-11-16
28.87745,17.468458,1,EPI_ISL_3516777,Delta,B.1.617.2,2021-07-26
28.88652,17.473013,1,EPI_ISL_6704463,Delta,AY.33.2,2021-10-23
28.947937,17.573347,1,EPI_ISL_8289545,Delta,AY.44,2021-12-19
28.9284,17.524603,1,EPI_ISL_3020283,Delta,AY.42,2021-07-13
28.877798,17.468494,1,EPI_ISL_3045407,Delta,AY.100,2021-05-21
28.877447,17.46846,1,EPI_ISL_3923763,Delta,AY.20,2021-08-06
28.87745,17.46846,1,EPI_ISL_4550097,Delta,AY.20,2021-09-01
28.877796,17.468487,1,EPI_ISL_8248291,Delta,AY.33.2,2021-12-23
28.877447,17.468456,1,EPI_ISL_8185267,Delta,AY.122,2021-11-19
28.882505,17.4743,1,EPI_ISL_8136309,Delta,AY.122,2021-12-20
28.877445,17.468456,1,EPI_ISL_8038089,Delta,AY.44,2021-11-30
28.882807,17.51252,1,EPI_ISL_9932873,Delta,AY.25,2022-01-17
28.877802,17.468489,1,EPI_ISL_4748063,Delta,AY.33.2,2021-09-14
28.877806,17.468489,1,EPI_ISL_7051443,Delta,AY.33.2,2021-11-18
27.806604,18.101255,1,EPI_ISL_12117958,Omicron,BA.1.1,2022-03-29
